Date,Source,위중증,준중증,중등증,경증
2022-07-25,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720232&cg_code=&act=view&nPage=3,322,916,680,8
2022-07-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720240&cg_code=&act=view&nPage=2,332,984,691,9
2022-07-27,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720254&cg_code=&act=view&nPage=2,364,1011,685,8
2022-07-28,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720276&cg_code=&act=view&nPage=2,399,1057,734,10
2022-07-29,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720294&cg_code=&act=view&nPage=1,443,1109,707,10
2022-07-30,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720296&cg_code=&act=view&nPage=1,457,1183,799,14
2022-07-31,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720301&cg_code=&act=view&nPage=1,480,1241,829,15
2022-08-01,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720311&cg_code=&act=view&nPage=1,483,1140,790,13
2022-08-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720322&cg_code=&act=view&nPage=1,494,1210,815,14
2022-08-03,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720328&cg_code=&act=view&nPage=1,540,1224,853,17
2022-08-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720345&cg_code=&act=view&nPage=1,544,1313,884,16
2022-08-05,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720366&cg_code=&act=view&nPage=1,596,1403,889,15
2022-08-11,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720397&cg_code=&act=view&nPage=1,678,1714,950,15
2022-08-13,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720441&cg_code=&act=view&nPage=1,770,1835,999,14
2022-08-14,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720444&cg_code=&act=view&nPage=1,761,1886,1026,17
2022-08-15,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720446&cg_code=&act=view&nPage=5,805,1985,1066,20
2022-08-16,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720448&cg_code=&act=view&nPage=5,814,1974,1052,21
2022-08-17,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720458&cg_code=&act=view&nPage=4,782,1903,1003,24
2022-08-18,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720466&cg_code=&act=view&nPage=4,813,1887,999,23
2022-08-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720489&cg_code=&act=view&nPage=4,819,1879,1036,24
2022-08-20,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720499&cg_code=&act=view&nPage=4,805,1856,1024,24
2022-08-21,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720501&cg_code=&act=view&nPage=4,816,1853,1021,25
2022-08-20,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720499&cg_code=&act=view&nPage=4,805,1856,1024,24
2022-08-21,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720501&cg_code=&act=view&nPage=4,816,1853,1021,25
2022-08-22,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720503&cg_code=&act=view&nPage=3,847,1896,1074,24
2022-08-23,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720510&cg_code=&act=view&nPage=3,820,1904,1056,23
2022-08-24,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720514&cg_code=&act=view&nPage=3,827,1858,1030,116
2022-08-25,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720518&cg_code=&act=view&nPage=3,845,1868,1000,21
2022-08-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720537&cg_code=&act=view&nPage=3,837,1852,1022,26
2022-08-27,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720556&cg_code=&act=view&nPage=2,790,1815,985,28
2022-08-28,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720558&cg_code=&act=view&nPage=2,795,1824,1007,27
2022-08-29,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720560&cg_code=&act=view&nPage=2,804,1831,1025,23
2022-08-30,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720571&cg_code=&act=view&nPage=2,781,1681,944,18
2022-08-31,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720586&cg_code=&act=view&nPage=1,713,1633,900,18
2022-09-01,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=720598&cg_code=&act=view&nPage=1,722,1610,856,18
